close,ema,datetime,exchange_code,high,low,open,stock_code,volume,ema-open,ema-close
18230.25,18195.847107108097,2023-01-03 10:10:00,NSE,18232.7,18221.75,18225.0,NIFTY,2493396,-29.15289289190332,-34.40289289190332
18228.65,18198.97119214542,2023-01-03 10:15:00,NSE,18235.6,18227.5,18230.1,NIFTY,2336233,-31.128807854576735,-29.67880785457964518210.75,18226.02357203879,2023-01-04 09:15:00,NSE,18243.0,18200.1,18237.95,NIFTY,13457378,-11.92642796121072,15.273572038790007
18223.4,18225.773708035096,2023-01-04 09:20:00,NSE,18223.5,18207.45,18209.7,NIFTY,7797875,16.07370803509548,2.373708035094751
18233.4,18226.500021555563,2023-01-04 09:25:00,NSE,18235.45,18220.1,18223.15,NIFTY,4612857,3.3500215555613977,-6.899978444438602
18225.75,18226.428590931224,2023-01-04 09:30:00,NSE,18238.65,18225.55,18232.9,NIFTY,4681874,-6.471409068777575,0.67859093122388
18174.15,18221.449677509205,2023-01-04 09:35:00,NSE,18225.35,18172.15,18224.75,NIFTY,7880826,-3.3003224907952244,47.29967750920332
18163.85,18215.9639939369,2023-01-04 09:40:00,NSE,18179.9,18161.9,18174.1,NIFTY,4799235,41.86399393690226,52.11399393690226
18159.55,18210.59123260958,2023-01-04 09:45:00,NSE,18166.9,18148.85,18162.95,NIFTY,4249210,47.641232609577855,51.04123260957931
18155.3,18205.325400932474,2023-01-04 09:50:00,NSE,18165.95,18150.6,18159.05,NIFTY,3796816,46.27540093247444,50.02540093247444
18128.3,18197.989648462713,2023-01-04 09:55:00,NSE,18156.9,18128.05,18156.9,NIFTY,4150051,41.08964846271192,69.6896484627141
18126.65,18191.19539622817,2023-01-04 10:00:00,NSE,18127.55,18113.7,18127.35,NIFTY,5037197,63.84539622817101,64.5453962281681
18135.9,18185.929168015962,2023-01-04 10:05:00,NSE,18139.4,18122.75,18127.25,NIFTY,3702138,58.679168015962205,50.02916801596075
18129.6,18180.564485347775,2023-01-04 10:10:00,NSE,18139.05,18124.2,18135.1,NIFTY,2864275,45.464485347776645,50.964485347776645
18131.05,18175.848820076557,2023-01-04 10:15:00,NSE,18134.25,18122.4,18129.65,NIFTY,2825989,46.19882007655542,44.798820076557604
8063.1,18066.437547240574,2023-01-05 09:15:00,NSE,18094.55,18044.15,18087.45,NIFTY,15795302,-21.012452759427106,3.337547240575077
18043.15,18064.219685598615,2023-01-05 09:20:00,NSE,18069.7,18031.15,18062.75,NIFTY,8704563,1.4696855986148876,21.069685598613432
18074.8,18065.227334589224,2023-01-05 09:25:00,NSE,18083.5,18039.05,18042.5,NIFTY,7480642,22.727334589224483,-9.572665410774789
18109.95,18069.486636056918,2023-01-05 09:30:00,NSE,18120.3,18071.6,18074.3,NIFTY,8396845,-4.81336394308164,-40.463363943083095
18082.3,18070.70695643245,2023-01-05 09:35:00,NSE,18115.05,18080.15,18109.55,NIFTY,7362389,-38.84304356755092,-11.593043567550922
18034.3,18067.239627248407,2023-01-05 09:40:00,NSE,18089.55,18034.1,18079.5,NIFTY,6554096,-12.260372751592513,32.939627248408215
18042.5,18064.88347227237,2023-01-05 09:45:00,NSE,18056.55,18028.4,18033.35,NIFTY,5086244,31.533472272371,22.383472272369545
18043.3,18062.827903484525,2023-01-05 09:50:00,NSE,18048.5,18027.05,18041.9,NIFTY,4172059,20.927903484523995,19.527903484526178
18037.25,18060.391912676474,2023-01-05 09:55:00,NSE,18052.65,18033.25,18043.25,NIFTY,4254072,17.14191267647402,23.14191267647402
18045.3,18058.954587659668,2023-01-05 10:00:00,NSE,18048.85,18033.1,18036.9,NIFTY,3682160,22.05458765966614,13.654587659668323
18018.4,18055.092245977794,2023-01-05 10:05:00,NSE,18045.05,18013.5,18045.05,NIFTY,4794767,10.042245977794664,36.69224597779248
18063.25,18055.86917493229,2023-01-05 10:10:00,NSE,18065.15,18014.75,18018.05,NIFTY,4660369,37.81917493229048,-7.380825067710248
18059.35,18056.200682081595,2023-01-05 10:15:00,NSE,18084.4,18052.05,18065.0,NIFTY,4937152,-8.799317918404995,-3.14931791840354
17979.3,17969.966420288085,2023-01-06 09:15:00,NSE,18018.25,17977.5,18013.4,NIFTY,11630200,-43.433579711916536,-9.333579711914354
18003.0,17973.112475498743,2023-01-06 09:20:00,NSE,18005.35,17970.2,17979.4,NIFTY,7003540,-6.287524501258304,-29.88752450125685
17990.0,17974.72081116553,2023-01-06 09:25:00,NSE,18026.35,17987.9,18002.1,NIFTY,6248211,-27.37918883446764,-15.279188834469096
18025.2,17979.52835295929,2023-01-06 09:30:00,NSE,18027.25,17976.4,17990.2,NIFTY,6390711,-10.671647040711832,-45.67164704071183
18023.25,17983.692319344118,2023-01-06 09:35:00,NSE,18047.4,18023.15,18025.35,NIFTY,5716570,-41.65768065588054,-39.557680655881995
18026.75,17987.793050835153,2023-01-06 09:40:00,NSE,18031.9,18014.85,18022.8,NIFTY,4665985,-35.006949164846446,-38.956949164847174
18004.4,17989.374665041327,2023-01-06 09:45:00,NSE,18031.6,18003.5,18026.65,NIFTY,4098164,-37.27533495867465,-15.025334958674648
18004.5,17990.81517313263,2023-01-06 09:50:00,NSE,18017.55,18002.35,18004.45,NIFTY,3256895,-13.634826867371885,-13.684826867371157
17970.9,17988.918489977143,2023-01-06 09:55:00,NSE,18005.7,17970.9,18005.05,NIFTY,4999205,-16.131510022856673,18.018489977141144
17964.05,17986.55006236027,2023-01-06 10:00:00,NSE,17977.55,17959.6,17971.45,NIFTY,5865225,15.100062360270385,22.50006236027184
17959.45,17983.969104040247,2023-01-06 10:05:00,NSE,17968.3,17955.65,17963.45,NIFTY,5968235,20.51910404024602,24.51910404024602
17955.0,17981.2101417507,2023-01-06 10:10:00,NSE,17974.55,17953.65,17959.25,NIFTY,3395990,21.96014175070013,26.21014175070013
17960.75,17979.26155682206,2023-01-06 10:15:00,NSE,17961.3,17943.5,17954.65,NIFTY,2899632,24.611556822059356,18.51155682206081
